Date,ROA,Loan Growth Rate,GDP Growth Rate,Total Assets,Interbank Rate,Liquidity,Credit Risk
1995-04-01,0.011399999999999999,0.114,0.007804539283189005,5190.620769,0.0601,0.17350689639642214,0.0014508063099327535
1995-07-01,0.0121,0.109,0.01347157900207581,5256.475497,0.0575666666666667,0.16977779131840973,0.0015385483966390146
1995-10-01,0.012,0.06,0.011643829821849864,5340.963353,0.057166666666666706,0.16838924751184303,0.001830489020124398
1996-01-01,0.011200000000000002,0.107,0.01233592011719132,5327.521968,0.0527666666666667,0.16739611875026997,0.0016438726203690493
1996-04-01,0.0121,0.094,0.020889962315408832,5422.841137,0.0539333333333333,0.16534970827046006,0.001884347065270951
1996-07-01,0.0124,0.06,0.012270629067677211,5496.864192,0.05480000000000001,0.16369896882473317,0.0017929592788690394
1996-10-01,0.0125,0.10300000000000001,0.015786072965469237,5611.184065,0.0541,0.159558034387881,0.002056086553697533
1997-01-01,0.012700000000000001,0.09,0.012456035403402831,5667.302357,0.0544333333333333,0.1588932693678761,0.0018105707713879696
1997-04-01,0.0131,0.096,0.018674691231433088,5803.460852,0.056900000000000006,0.15984972134003464,0.002050042526237505
1997-07-01,0.013000000000000001,0.094,0.016903504884769858,5894.611596,0.055999999999999994,0.1591606308101186,0.002002502261067592
1997-10-01,0.013000000000000001,0.057999999999999996,0.011899585158325284,6044.717755,0.057300000000000004,0.15842354247357246,0.002165116222321755
1998-01-01,0.0126,0.107,0.011473199521738062,6152.711602,0.0555333333333333,0.1637043087916865,0.001822323790275571
1998-04-01,0.012700000000000001,0.092,0.011641485685413035,6229.498743,0.0559,0.1640750311007808,0.001882744620093222
1998-07-01,0.0124,0.071,0.016878827260535634,6327.525195,0.0552666666666667,0.16277861695657775,0.0023436631323822026
1998-10-01,0.0123,0.099,0.018955395387199613,6531.0245190000005,0.0519666666666667,0.16425568406291263,0.0020126322152272474
1999-01-01,0.013300000000000001,0.02,0.012663128251361629,6521.924728,0.049,0.16845485739558813,0.0018510113034240516
1999-04-01,0.0129,0.034,0.012168706932512001,6594.81476,0.0497666666666667,0.16693129982622895,0.0016895050626039886
1999-07-01,0.0138,0.071,0.01683943562025203,6655.738746,0.0538333333333333,0.16779515281773652,0.0017842319518842236
1999-10-01,0.013600000000000001,0.094,0.022045137285159937,6883.6590750000005,0.060599999999999994,0.16502391934626714,0.0019953367374353206
2000-01-01,0.013500000000000002,0.113,0.010303864509787684,7004.568467,0.0603333333333333,0.16384927999590929,0.0018483495516257908
2000-04-01,0.0117,0.121,0.02454875082719468,7163.614418,0.0657333333333333,0.16194352910522608,0.0022178606454489953
2000-07-01,0.0122,0.083,0.006874212019844564,7269.38801,0.0662666666666667,0.16213932980033627,0.002031943714000343
2000-10-01,0.0121,0.052000000000000005,0.01139534015980552,7462.898053999999,0.0659,0.1562413544393836,0.0029493942944858543
2001-01-01,0.0128,0.063,0.0033046996936681437,7572.689271,0.052566666666666706,0.15728801980048918,0.002324430918521396
2001-04-01,0.0124,0.043,0.012298582524110521,7635.9236789999995,0.0409666666666667,0.15507197947204626,0.0025491798557343054
2001-07-01,0.012,0.011000000000000001,-9.246155297665472e-05,7844.175799,0.033366666666666704,0.15437860280418225,0.003333490576986867
2001-10-01,0.0121,0.0,0.0058921383428224994,7867.077283,0.020566666666666702,0.15998622547153132,0.0043143497818696735
2002-01-01,0.013300000000000001,-0.003,0.011541241399882636,7822.7418020000005,0.0182333333333333,0.16617733691116396,0.0032755208601291603
2002-04-01,0.0139,0.009000000000000001,0.009640654703945763,8039.0066289999995,0.0183333333333333,0.1646775479975786,0.0032004246359514355
2002-07-01,0.0139,0.068,0.008870755897151562,8272.829759,0.0176,0.16411947780297603,0.0035776887890646663
2002-10-01,0.013500000000000002,0.141,0.007045950306080461,8435.858213,0.0148666666666667,0.1692485416361988,0.00352251770807767
2003-01-01,0.0141,0.11199999999999999,0.010188191710784661,8605.71487,0.012633333333333302,0.17327869009445812,0.002588979759163563
2003-04-01,0.013999999999999999,0.087,0.012406962547147862,8923.262176999999,0.0116666666666667,0.1726038044662509,0.0024678142260787005
